Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D4B-A1,D4B-A1,cis,2.130,23679.9468
2,D4B-A2,D4B-A2,cis,2.130,562406.2229
3,D4B-A3,D4B-A3,cis,2.132,1020138.7168
4,D4B-A4,D4B-A4,cis,2.131,250995.6487
5,D4B-A5,D4B-A5,cis,2.127,241961.3595
6,D4B-A6,D4B-A6,cis,2.130,208155.5046
7,D4B-A7,D4B-A7,cis,2.129,341595.2590
8,D4B-A8,D4B-A8,cis,2.125,430730.6813
9,D4B-A9,D4B-A9,cis,2.129,44957.9796
10,D4B-A10,D4B-A10,cis,2.128,79490.5219
11,D4B-A11,D4B-A11,cis,2.127,520550.4158
12,D4B-A12,D4B-A12,cis,2.127,29573.9914
13,D4B-B1,D4B-B1,cis,2.126,314747.8144
14,D4B-B2,D4B-B2,cis,2.127,99825.4459
15,D4B-B3,D4B-B3,cis,2.129,70840.4397
16,D4B-B4,D4B-B4,cis,2.124,38267.7256
17,D4B-B5,D4B-B5,cis,2.125,267148.1975
18,D4B-B6,D4B-B6,cis,2.131,318675.0646
19,D4B-B7,D4B-B7,cis,2.128,411458.6450
20,D4B-B8,D4B-B8,cis,2.128,436243.5391
21,D4B-B9,D4B-B9,cis,2.129,477971.8119
22,D4B-B10,D4B-B10,cis,2.127,204693.0978
23,D4B-B11,D4B-B11,cis,2.126,221702.9083
24,D4B-B12,D4B-B12,cis,2.128,44337.2864
25,D4B-C1,D4B-C1,cis,2.128,201509.6250
26,D4B-C2,D4B-C2,cis,2.128,27822.4205
27,D4B-C3,D4B-C3,cis,2.128,353608.9358
28,D4B-C4,D4B-C4,cis,2.131,22845.0107
29,D4B-C5,D4B-C5,cis,2.130,237957.0574
30,D4B-C6,D4B-C6,cis,2.127,244081.6192
31,D4B-C7,D4B-C7,cis,2.129,367634.0943
32,D4B-C8,D4B-C8,cis,2.129,109920.4531
33,D4B-C9,D4B-C9,cis,2.129,261312.1894
34,D4B-C10,D4B-C10,cis,2.130,30072.6096
35,D4B-C11,D4B-C11,cis,2.130,16130.1306
36,D4B-C12,D4B-C12,cis,2.130,419356.0282
37,D4B-D1,D4B-D1,cis,2.129,286295.8323
38,D4B-D2,D4B-D2,cis,2.131,76912.8198
39,D4B-D3,D4B-D3,cis,2.127,314580.2956
40,D4B-D4,D4B-D4,cis,2.131,25303.6833
41,D4B-D5,D4B-D5,cis,2.129,459104.3719
42,D4B-D6,D4B-D6,cis,2.131,346812.0633
43,D4B-D7,D4B-D7,cis,2.127,298437.7890
44,D4B-D8,D4B-D8,cis,2.128,255544.6545
45,D4B-D9,D4B-D9,cis,2.128,38186.4298
46,D4B-D10,D4B-D10,cis,2.130,265456.1443
47,D4B-D11,D4B-D11,cis,2.130,256622.4164
48,D4B-D12,D4B-D12,cis,2.127,318269.3262
49,D4B-E1,D4B-E1,cis,2.131,8421.3606
50,D4B-E2,D4B-E2,cis,2.127,397105.2926
51,D4B-E3,D4B-E3,cis,2.128,226032.6642
52,D4B-E4,D4B-E4,cis,2.131,27320.7976
53,D4B-E5,D4B-E5,cis,2.133,525718.6822
54,D4B-E6,D4B-E6,cis,2.128,442492.8806
55,D4B-E7,D4B-E7,cis,2.130,119209.6521
56,D4B-E8,D4B-E8,cis,2.128,425812.8467
57,D4B-E9,D4B-E9,cis,2.130,153838.8338
58,D4B-E10,D4B-E10,cis,2.133,90461.6416
59,D4B-E11,D4B-E11,cis,2.131,514412.3036
60,D4B-E12,D4B-E12,cis,2.132,34737.4729
61,D4B-F1,D4B-F1,cis,2.132,309171.4067
62,D4B-F2,D4B-F2,cis,2.131,232958.7010
63,D4B-F3,D4B-F3,cis,2.131,57275.1730
64,D4B-F4,D4B-F4,cis,2.132,443862.2177
65,D4B-F5,D4B-F5,cis,2.128,398863.0068
66,D4B-F6,D4B-F6,cis,2.131,22689.3710
67,D4B-F7,D4B-F7,cis,2.127,120296.8013
68,D4B-F8,D4B-F8,cis,2.128,460066.5866
69,D4B-F9,D4B-F9,cis,2.130,584296.4214
70,D4B-F10,D4B-F10,cis,2.132,357083.6186
71,D4B-F11,D4B-F11,cis,2.133,35628.3393
72,D4B-F12,D4B-F12,cis,2.131,611602.8823
73,D4B-G1,D4B-G1,cis,2.133,121029.9340
74,D4B-G2,D4B-G2,cis,2.129,432956.1115
75,D4B-G3,D4B-G3,cis,2.131,392351.0062
76,D4B-G4,D4B-G4,cis,2.131,24434.9837
77,D4B-G5,D4B-G5,cis,2.133,270175.3598
78,D4B-G6,D4B-G6,cis,2.136,143716.6852
79,D4B-G7,D4B-G7,cis,2.136,45521.1218
80,D4B-G8,D4B-G8,cis,2.133,334187.5877
81,D4B-G9,D4B-G9,cis,2.132,329015.9540
82,D4B-G10,D4B-G10,cis,2.129,397588.4555
83,D4B-G11,D4B-G11,cis,2.131,424184.3637
84,D4B-G12,D4B-G12,cis,2.131,39167.3736
85,D4B-H1,D4B-H1,cis,2.130,584899.1220
86,D4B-H2,D4B-H2,cis,2.130,563683.1753
87,D4B-H3,D4B-H3,cis,2.134,177073.7571
88,D4B-H4,D4B-H4,cis,2.131,312487.2279
89,D4B-H5,D4B-H5,cis,2.133,49340.7482
90,D4B-H6,D4B-H6,cis,2.132,18987.2039
91,D4B-H7,D4B-H7,cis,2.131,345551.9654
92,D4B-H8,D4B-H8,cis,2.132,11369.3270
93,D4B-H9,D4B-H9,cis,2.132,61811.0368
94,D4B-H10,D4B-H10,cis,2.132,30260.2828
95,D4B-H11,D4B-H11,cis,2.131,431759.9689
96,D4B-H12,D4B-H12,cis,2.132,472562.0845
Compound name (signal),trans (MS1 +TIC SIM ESI Frag=70V Gain=1.0)
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
1,D4B-A1,D4B-A1,trans,2.607,38630.3773
2,D4B-A2,D4B-A2,trans,2.605,394432.6649
3,D4B-A3,D4B-A3,trans,2.608,408143.9817
4,D4B-A4,D4B-A4,trans,2.607,211532.5047
5,D4B-A5,D4B-A5,trans,2.604,201031.6368
6,D4B-A6,D4B-A6,trans,2.606,227109.4466
7,D4B-A7,D4B-A7,trans,2.607,243567.1605
8,D4B-A8,D4B-A8,trans,2.601,312901.4201
9,D4B-A9,D4B-A9,trans,2.603,32957.0598
10,D4B-A10,D4B-A10,trans,2.604,55095.2105
11,D4B-A11,D4B-A11,trans,2.601,473523.9250
12,D4B-A12,D4B-A12,trans,2.603,21311.6066
13,D4B-B1,D4B-B1,trans,2.603,134841.7593
14,D4B-B2,D4B-B2,trans,2.604,166922.0725
15,D4B-B3,D4B-B3,trans,2.606,35622.6848
16,D4B-B4,D4B-B4,trans,2.599,18068.4885
17,D4B-B5,D4B-B5,trans,2.603,492936.7272
18,D4B-B6,D4B-B6,trans,2.605,370384.6642
19,D4B-B7,D4B-B7,trans,2.604,328712.8820
20,D4B-B8,D4B-B8,trans,2.603,352265.1963
21,D4B-B9,D4B-B9,trans,2.605,343668.5944
22,D4B-B10,D4B-B10,trans,2.605,358696.3369
23,D4B-B11,D4B-B11,trans,2.603,189471.6758
24,D4B-B12,D4B-B12,trans,2.602,168073.5270
25,D4B-C1,D4B-C1,trans,2.605,140573.0298
26,D4B-C2,D4B-C2,trans,2.606,22073.4498
27,D4B-C3,D4B-C3,trans,2.605,370546.0394
28,D4B-C4,D4B-C4,trans,2.605,17778.1823
29,D4B-C5,D4B-C5,trans,2.606,207859.6865
30,D4B-C6,D4B-C6,trans,2.602,246254.7719
31,D4B-C7,D4B-C7,trans,2.605,214893.5380
32,D4B-C8,D4B-C8,trans,2.606,62588.6556
33,D4B-C9,D4B-C9,trans,2.605,119969.6883
34,D4B-C10,D4B-C10,trans,2.606,46436.9051
35,D4B-C11,D4B-C11,trans,2.605,12459.0715
36,D4B-C12,D4B-C12,trans,2.606,497678.5738
37,D4B-D1,D4B-D1,trans,2.605,383222.1062
38,D4B-D2,D4B-D2,trans,2.607,42778.6071
39,D4B-D3,D4B-D3,trans,2.602,277596.0221
40,D4B-D4,D4B-D4,trans,2.607,19715.3725
41,D4B-D5,D4B-D5,trans,2.604,384651.9114
42,D4B-D6,D4B-D6,trans,2.608,376002.2125
43,D4B-D7,D4B-D7,trans,2.603,226817.3359
44,D4B-D8,D4B-D8,trans,2.606,219019.1528
45,D4B-D9,D4B-D9,trans,2.601,26695.5088
46,D4B-D10,D4B-D10,trans,2.604,229798.8686
47,D4B-D11,D4B-D11,trans,2.604,224166.2929
48,D4B-D12,D4B-D12,trans,2.608,444194.0711
49,D4B-E1,D4B-E1,trans,,
50,D4B-E2,D4B-E2,trans,2.604,352098.7913
51,D4B-E3,D4B-E3,trans,2.603,99368.0806
52,D4B-E4,D4B-E4,trans,2.606,20630.9875
53,D4B-E5,D4B-E5,trans,2.608,406127.8765
54,D4B-E6,D4B-E6,trans,2.605,348736.9715
55,D4B-E7,D4B-E7,trans,2.607,52875.2936
56,D4B-E8,D4B-E8,trans,2.607,348084.3283
57,D4B-E9,D4B-E9,trans,2.608,129907.4593
58,D4B-E10,D4B-E10,trans,2.608,39287.8411
59,D4B-E11,D4B-E11,trans,2.607,381267.0629
60,D4B-E12,D4B-E12,trans,2.610,23426.0734
61,D4B-F1,D4B-F1,trans,2.607,362033.7081
62,D4B-F2,D4B-F2,trans,2.610,138181.1459
63,D4B-F3,D4B-F3,trans,2.609,30559.8836
64,D4B-F4,D4B-F4,trans,2.609,366613.2614
65,D4B-F5,D4B-F5,trans,2.608,311176.6039
66,D4B-F6,D4B-F6,trans,2.605,16417.8218
67,D4B-F7,D4B-F7,trans,2.604,62608.2681
68,D4B-F8,D4B-F8,trans,2.605,372241.0906
69,D4B-F9,D4B-F9,trans,2.607,459367.7757
70,D4B-F10,D4B-F10,trans,2.609,380230.0953
71,D4B-F11,D4B-F11,trans,2.610,23452.8479
72,D4B-F12,D4B-F12,trans,2.609,486484.4040
73,D4B-G1,D4B-G1,trans,2.609,36823.1618
74,D4B-G2,D4B-G2,trans,2.607,288878.7755
75,D4B-G3,D4B-G3,trans,2.609,330190.1775
76,D4B-G4,D4B-G4,trans,2.611,15381.8371
77,D4B-G5,D4B-G5,trans,2.607,211595.9364
78,D4B-G6,D4B-G6,trans,2.613,59049.0093
79,D4B-G7,D4B-G7,trans,2.613,33660.5665
80,D4B-G8,D4B-G8,trans,2.608,256502.3664
81,D4B-G9,D4B-G9,trans,2.607,277097.4768
82,D4B-G10,D4B-G10,trans,2.606,327741.0142
83,D4B-G11,D4B-G11,trans,2.611,352081.9931
84,D4B-G12,D4B-G12,trans,2.609,33981.3759
85,D4B-H1,D4B-H1,trans,2.609,501471.6416
86,D4B-H2,D4B-H2,trans,2.608,502598.1207
87,D4B-H3,D4B-H3,trans,2.609,71287.4598
88,D4B-H4,D4B-H4,trans,2.611,199872.0850
89,D4B-H5,D4B-H5,trans,2.609,365133.9438
90,D4B-H6,D4B-H6,trans,2.611,13462.4309
91,D4B-H7,D4B-H7,trans,2.606,280675.1883
92,D4B-H8,D4B-H8,trans,,
93,D4B-H9,D4B-H9,trans,2.610,33689.9636
94,D4B-H10,D4B-H10,trans,2.609,23352.8654
95,D4B-H11,D4B-H11,trans,2.610,403603.6534
96,D4B-H12,D4B-H12,trans,2.609,461831.0786
